Agent,value x,value y,value z
Name,Sheep,Herbivore,11884
Gender,Male,,
Generation,1,,
Sex appeal,95,,
Multiple pregnancy,50.22886,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,71169,71183,
Size,19,19,
Stamina,7455207,7455207,
Sense range,967,,
Velocity,7.0,,
Position,666.48914,751.5398,-1187.7949
Satiate,true,,
Starving,false,,
Hunger,14910452,,
Leptin,18638064,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,0,,
,,,
,,,
,,,
,,,
,,,
