Agent,value x,value y,value z
Name,Sheep,Herbivore,4989
Gender,Male,,
Generation,1,,
Sex appeal,93,,
Multiple pregnancy,50.00151,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,61592,61906,
Size,19,19,
Stamina,6845400,6845400,
Sense range,1016,,
Velocity,5.0,,
Position,1991.7366,-110.18472,-2131.852
Satiate,true,,
Starving,false,,
Hunger,13690818,,
Leptin,17113548,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,1,,
,,,
,,,
,,,
,,,
,,,
