Agent,value x,value y,value z
Name,Sheep,Herbivore,4016
Gender,Male,,
Generation,1,,
Sex appeal,125,,
Multiple pregnancy,49.94507,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,59672,59986,
Size,25,25,
Stamina,9530395,9530395,
Sense range,1219,,
Velocity,7.0,,
Position,3221.654,-1008.4422,558.9858
Satiate,true,,
Starving,false,,
Hunger,19060820,,
Leptin,23826050,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,1,,
,,,
,,,
,,,
,,,
,,,
